item_type,issue,issue_title,task_id,task_path,branch,pr,pr_state,status,last_commit,classification,recommendation,conflicts,issue_url,pr_url
issue,#6,TASK-2026-07-11-001：归一量化单项目工作站精简收口与Demo前置修复（WORKSTATION-LEAN-V1-CLOSEOUT）：归一量化产品与交付工作站,TASK-2026-07-11-001-workstation-lean-v1-closeout,docs/tasks/TASK-2026-07-11-001-workstation-lean-v1-closeout.md,feature/workstation-lean-v1-closeout,,,DELIVERY_READY,7710a51c 2026-07-12 22:47:24 +0800,Completed,补交付摘要和结果链接，用户确认后关闭 Issue。,,https://github.com/firehell/guiyi-quant-workstation/issues/6,
issue,#7,[Demo] Lean V1 全链路验证 — TASK-2026-07-11-002-lean-v1-demo,TASK-2026-07-11-002-lean-v1-demo,docs/tasks/TASK-2026-07-11-002-lean-v1-demo.md,feature/lean-v1-demo,,,DELIVERY_READY,7710a51c 2026-07-12 22:47:24 +0800,Completed,补交付摘要和结果链接，用户确认后关闭 Issue。,,https://github.com/firehell/guiyi-quant-workstation/issues/7,
issue,#8,GUIYI-DEMO-001: 为 GET /api/health 补充自动化测试,GUIYI-DEMO-001,docs/tasks/GUIYI-DEMO-001.md,feature/lean-v1-demo,,,RESULT_READY,7710a51c 2026-07-12 22:47:24 +0800,Completed,补交付摘要和结果链接，用户确认后关闭 Issue。,,https://github.com/firehell/guiyi-quant-workstation/issues/8,
issue,#9,TASK-2026-07-11-001: 全量历史数据资产盘点（只读审计）,TASK-2026-07-11-001-data-asset-audit,docs/tasks/TASK-2026-07-11-001-data-asset-audit.md,codex/data-asset-audit,,,DELIVERY_READY_WITH_CLI_ENV_NOTE,7710a51c 2026-07-12 22:47:24 +0800,Completed,补交付摘要和结果链接，用户确认后关闭 Issue。,,https://github.com/firehell/guiyi-quant-workstation/issues/9,
issue,#10,TASK-2026-07-11-002: 火天大有指标与策略规范,TASK-2026-07-11-002-htdy-indicator-core,docs/tasks/TASK-2026-07-11-002-htdy-indicator-core.md,codex/htdy-indicator-core,,,DELIVERY_READY,8e316f7d 2026-07-14 14:39:01 +0800,Completed,补交付摘要和结果链接，用户确认后关闭 Issue。,,https://github.com/firehell/guiyi-quant-workstation/issues/10,
issue,#11,TASK-2026-07-11-003: Web 主图多指标切换（EMA overlay）,TASK-2026-07-11-003-web-overlay-indicators,docs/tasks/TASK-2026-07-11-003-web-overlay-indicators.md,codex/web-overlay-indicators,,,C2_CLOSEOUT_FIX_READY_FOR_GPT_REVIEW,73320a87 2026-07-12 14:48:57 +0800,Active,迁移到 V3，补充 Draft PR 关联后继续。,,https://github.com/firehell/guiyi-quant-workstation/issues/11,
issue,#12,TASK-2026-07-11-004: JM 实时 1m 真实 Gate（T1/T3）,TASK-2026-07-11-004-jm-live-runtime-gate,docs/tasks/TASK-2026-07-11-004-jm-live-runtime-gate.md,codex/jm-live-runtime-gate,,,T1_OPS_PASSED_/_T3_CLOCK_IDLE_NON_TRADING_/_T3_REAL_PENDING,374e2f32 2026-07-11 23:40:56 +0800,Active,迁移到 V3，补充 Draft PR 关联后继续。,,https://github.com/firehell/guiyi-quant-workstation/issues/12,
task,#5,,TASK-2026-07-10-003-workstation-lean-v1-closeout,docs/tasks/TASK-2026-07-10-003-workstation-lean-v1-closeout.md,feature/workstation-lean-v1-closeout,,,REQUIREMENT_READY,7710a51c 2026-07-12 22:47:24 +0800,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
task,,,"""WS-V2-003""",docs/tasks/workstation/WS-V2-002-task-schema-plan.md,,,,PLAN_READY,,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
task,,,TASK-2026-07-09-001-workstation-scaffold,tasks/TASK-2026-07-09-001-workstation-scaffold.md,,,,REQUIREMENT_READY,,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
task,,,TASK-2026-07-09-002-readme-workstation-sync,tasks/TASK-2026-07-09-002-readme-workstation-sync.md,,,,REQUIREMENT_READY,,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
task,,,TASK-2026-07-10-001-workstation-v1.2.1-closeout,tasks/TASK-2026-07-10-001-workstation-v1.2.1-closeout.md,,,,REQUIREMENT_READY,,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
task,,,TASK-2026-07-10-002-workstation-v1.3-codebuddy-daemon,tasks/TASK-2026-07-10-002-workstation-v1.3-codebuddy-daemon.md,,,,REQUIREMENT_READY,,Orphan TASK,补 Issue 链接或归档本地 TASK；确认是否仍需 V3 迁移。,no open issue linked,,
