consumer,entrypoints,product_role,classification,formal_consumer,profile_resolution,passed_only,immutable_binding,lineage_persisted,contract_result,notes
Market historical bars/workbench,/api/v1/market/bars; coverage,browser observation,safe_browser_mode,no,optional,no,no,response only when Profile supplied,CONDITIONAL,"Useful browser path but unbound fallback is not a strict consumer primitive."
Market indicators,/api/v1/market/indicators; indicators/macd,browser observation,safe_browser_mode,no,optional,no,no,no,FAIL,"Independent reread cannot prove the same file as bars."
Backtest generic task,/api/backtests/tasks,formal production research,unsafe_bypass,yes,no,no,no,no,FAIL,"Arbitrary client paths are persisted and executed."
Backtest fixed JM,/api/backtests/jm-v1b/*,formal production research,unsafe_bypass,yes,no,yes,no,no,FAIL,"Latest passed row bypasses active Profile binding."
Backtest inline,/api/backtests/run,formal production research,unsafe_bypass,yes,no,no,no,no,FAIL,"Warning override and no snapshot."
Backtest batch,/api/backtests/run-batch,formal production research,unsafe_bypass,yes,no,no,no,no,FAIL,"Coverage/default selection and no per-report pinned file."
Signal historical scan,/api/signals/scan,formal production research,unsafe_bypass,yes,no,no,no,no,FAIL,"Warning/unchecked can enter and events lack asset lineage."
Signal live preview,/api/signals/live/evaluate,read-only observation,safe_browser_mode,no,partial,no,no,no,PASS_WITH_BOUNDARY,"Preview writes=false; warning display allowed."
Signal live-confirmed persistence,live confirmed worker,formal production research,formal_production_research,yes,partial,yes,no,no,PARTIAL,"Strict quality gate passes but full asset lineage is absent."
Review API/Web,/api/reviews/*; review Kline,formal production research,unsafe_bypass,yes,no,unknown,no,no,FAIL,"Report/trade link survives but original bar/binding does not."
Formal Backtest CLI,run-su-bing-backtest,formal production research,unsafe_bypass,yes,no,no,no,no,FAIL,"Warning override unchecked acceptance and no Profile lineage."
Experiments and fixtures,experiments,research/support,experiment_only,no,no,mixed,mixed,mixed,ISOLATE,"Most are bounded; app-DB persistence switches are separately registered unsafe bypasses."
Report 14 replay/repair,oos_validation_run; stage13g repair,historical frozen evidence,legacy_frozen,no,frozen,guarded,frozen,frozen,DO_NOT_CHANGE,"No migration backfill or recomputation."
