product,contract,contract_role,period,expected_start,expected_end,target_reason,physical_evidence_count,spanning_evidence_count,registration_status,quality_status,checksum_status_counts,reason,recommended_next_task
a,A0505,actual_contract,1d,2005-01-04,2005-03-04,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0505,actual_contract,1m,2005-01-04,2005-03-04,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0509,actual_contract,1d,2005-03-07,2005-07-07,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0509,actual_contract,1m,2005-03-07,2005-07-07,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0511,actual_contract,1d,2005-07-08,2005-07-22,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0511,actual_contract,1m,2005-07-08,2005-07-22,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0601,actual_contract,1d,2005-07-25,2005-10-27,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0601,actual_contract,1m,2005-07-25,2005-10-27,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0605,actual_contract,1d,2005-10-28,2006-02-15,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0605,actual_contract,1m,2005-10-28,2006-02-15,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0609,actual_contract,1d,2006-02-16,2006-08-23,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0609,actual_contract,1m,2006-02-16,2006-08-23,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0701,actual_contract,1d,2006-08-24,2006-10-31,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0701,actual_contract,1m,2006-08-24,2006-10-31,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0705,actual_contract,1d,2006-11-01,2007-01-31,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0705,actual_contract,1m,2006-11-01,2007-01-31,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
a,A0709,actual_contract,1d,2007-02-01,2007-05-30,main_contract_map_rank1_effective_range,0,0,missing,unchecked,{},"[""missing_physical_identity"", ""missing_exact_db_registration"", ""quality_unchecked""]",B2-04A-actual-rank1-interval-triage
