unsafe_id,evidence_ids,consumer,risk,severity,minimal_fix_files,required_tests,suggested_stage,protection_boundary
U-BT-01,BT-01,Backtest,"Client can execute and persist arbitrary local files as formal research input.",critical,"services/quant-api/app/schemas/backtest.py; services/quant-api/app/api/backtests.py; services/quant-api/app/backtest/service.py","API rejects bar_data_path and auxiliary_bar_data_paths with 422; resolver success and missing-binding tests",BACKTEST-PROFILE-CONTRACT-002,"Keep GuiyiBacktestRequest paths experiment-only."
U-BT-02,BT-02,Backtest,"Fixed JM can silently move to a newer passed file outside its Profile binding.",critical,"services/quant-api/app/backtest/v1b_jm_tasks.py","Fixed JM resolves intraday_research_v1; active-binding switch does not mutate an existing task snapshot",BACKTEST-PROFILE-CONTRACT-002,"Do not change strategy parameters or actual mapping."
U-BT-03,BT-03,Backtest,"Tasks and reports cannot be reproduced after binding changes.",critical,"services/quant-api/app/models/backtest.py; services/quant-api/app/schemas/backtest.py; services/quant-api/app/backtest/service.py; services/quant-api/alembic/versions/20260718_0024_backtest_binding_snapshot.py","0023 to head roundtrip; ORM column parity; task/report snapshot deep copy; report 14 no-backfill guard",BACKTEST-PROFILE-CONTRACT-002,"New columns nullable; no historical backfill or report 14 UPDATE."
U-BT-04,BT-04,Backtest,"Queued task follows mutable path configuration without checking pinned file identity.",critical,"services/quant-api/app/backtest/runner.py; services/quant-api/app/backtest/service.py","Runner rejects missing snapshot file id path mismatch and changed binding while accepting original pinned snapshot",BACKTEST-PROFILE-CONTRACT-002,"Old tasks remain read-only and are not rerunnable."
U-BT-05,BT-05,Backtest,"Lineage-free Parquet is promoted to primary/passed by defaults.",high,"services/quant-api/app/vnpy_integration/backtest_runner.py","Missing data_role and missing quality_status each fail closed",BACKTEST-PROFILE-CONTRACT-002,"Low-level fixtures must declare both fields."
U-BT-06,BT-06,Backtest,"Inline formal result can consume warning data and has no reproducible binding.",high,"services/quant-api/app/api/backtests.py; services/quant-api/app/schemas/backtest.py","Warning failed partial unchecked rejected; response carries binding snapshot",BACKTEST-PROFILE-CONTRACT-002,"No warning override in formal API."
U-BT-07,BT-07,Backtest,"Batch reports can mix independently selected assets without per-report lineage.",critical,"services/quant-api/app/api/backtests.py; services/quant-api/app/services/batch_backtest.py; services/quant-api/app/models/backtest.py","Every target resolves Profile; task snapshot lists all assets; each report file id non-null",BACKTEST-PROFILE-CONTRACT-002,"Batch task primary file id may be null only when snapshot is complete."
U-BT-08,BT-08,Backtest,"Generic resolver capability can be misused to weaken passed-only formal Backtest.",high,"services/quant-api/app/backtest/service.py; services/quant-api/app/services/profile_lineage.py","Formal wrapper always calls allow_warning_quality=false and verifies quality_policy=passed_only",BACKTEST-PROFILE-CONTRACT-002,"Do not alter Market browser warning semantics."
U-SIG-01,"SIG-01;SIG-03",Signal,"Formal historical scan accepts warning/unchecked data without a Profile identity.",critical,"services/quant-api/app/schemas/signal.py; services/quant-api/app/services/signal_scanner.py","Warning unchecked failed partial fail closed; resolver identity roundtrip",C-SIGNAL-PROFILE-CONTRACT,"Not part of BACKTEST-PROFILE-CONTRACT-002."
U-SIG-02,SIG-02,Signal,"Historical scan chooses a different contract than canonical actual mapping; MKT-04 independently records the cross-consumer divergence.",high,"services/quant-api/app/services/signal_scanner.py; services/quant-api/app/signal/contract_context.py","Golden actual mapping agrees across Market Signal and live target",C-ACTUAL-CONTRACT-MAPPING,"Do not modify actual mapping in Backtest task."
U-SIG-04,"SIG-04;SIG-05",Signal,"Formal events are not traceable to an immutable market asset.",critical,"services/quant-api/app/models/signal.py; services/quant-api/app/schemas/signal.py; services/quant-api/app/signal/events.py","Event persists profile_id market_data_file_id and immutable snapshot; missing lineage rejected",C-SIGNAL-PROFILE-CONTRACT,"Do not modify Signal in current Backtest implementation."
U-REV-01,REV-01,Review,"Review cannot prove or reload the exact bars used by a report/trade; ADM-01 is a supporting admin example of current-state inference.",high,"services/quant-api/app/services/review_center.py; scripts/export_su_bing_report_10_review_package.py","Binding switch after report creation still loads original file and checksum",C-REVIEW-PROFILE-CONTRACT,"Consume report lineage; do not infer from current active state."
U-REV-02,REV-02,Review,"Web may silently show a guessed MAIN or provider-fallback series.",high,"apps/quant-web/src/api/market.ts; apps/quant-web/src/pages/review/index.vue","No MAIN guess or provider drop; missing report lineage shows explicit unavailable state",C-REVIEW-PROFILE-CONTRACT,"No changes in current Backtest implementation."
U-MKT-01,MKT-02,Market,"Bars and indicators on one chart can originate from different binding versions.",high,"services/quant-api/app/services/market_indicators.py; services/quant-api/app/services/market_workbench.py; apps/quant-web/src/pages/market/chart.vue","Concurrent binding switch preserves same file id or rejects mismatch",C-MARKET-INDICATOR-CONTRACT,"Keep browser display available; do not fold into Backtest work."
