product,contract_role,symbol_or_contract,period,start_date,end_date,evidence_source,provider,data_role,quality_status,manifest_status,manifest_or_db_row_count,db_market_data_file_id,data_quality_report_status,physical_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,duckdb_error,checksum_status,row_count_status
a,actual_contract,A0905,1w,2008-10-24,2009-01-09,db_market_data_file,rqdata,primary,passed,,12,79829,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A0905/A0905_1w_20081015_20090112.parquet,True,12.0,2008-10-24T00:00:00,2009-01-09T00:00:00,,checksum_unverified,matched
a,actual_contract,A0909,1w,2009-01-23,2009-04-10,db_market_data_file,rqdata,primary,passed,,11,79831,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A0909/A0909_1w_20090113_20090414.parquet,True,11.0,2009-01-23T00:00:00,2009-04-10T00:00:00,,checksum_unverified,matched
a,actual_contract,A1001,1w,2009-04-24,2009-07-03,db_market_data_file,rqdata,primary,passed,,11,79833,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1001/A1001_1w_20090415_20090709.parquet,True,11.0,2009-04-24T00:00:00,2009-07-03T00:00:00,,checksum_unverified,matched
a,actual_contract,A1005,1w,2009-07-17,2009-10-23,db_market_data_file,rqdata,primary,passed,,15,79835,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1005/A1005_1w_20090710_20091026.parquet,True,15.0,2009-07-17T00:00:00,2009-10-23T00:00:00,,checksum_unverified,matched
a,actual_contract,A1009,1w,2009-11-06,2010-04-16,db_market_data_file,rqdata,primary,passed,,23,79837,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1009/A1009_1w_20091027_20100422.parquet,True,23.0,2009-11-06T00:00:00,2010-04-16T00:00:00,,checksum_unverified,matched
a,actual_contract,A1101,1w,2010-04-30,2010-07-16,db_market_data_file,rqdata,primary,passed,,12,79839,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1101/A1101_1w_20100423_20100721.parquet,True,12.0,2010-04-30T00:00:00,2010-07-16T00:00:00,,checksum_unverified,matched
a,actual_contract,A1105,1w,2010-07-30,2010-10-22,db_market_data_file,rqdata,primary,passed,,13,79841,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1105/A1105_1w_20100722_20101022.parquet,True,13.0,2010-07-30T00:00:00,2010-10-22T00:00:00,,checksum_unverified,matched
a,actual_contract,A1109,1w,2010-10-29,2010-12-31,db_market_data_file,rqdata,primary,passed,,10,79843,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1109/A1109_1w_20101025_20110105.parquet,True,10.0,2010-10-29T00:00:00,2010-12-31T00:00:00,,checksum_unverified,matched
a,actual_contract,A1201,1w,2011-01-14,2011-07-08,db_market_data_file,rqdata,primary,passed,,26,79845,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1201/A1201_1w_20110106_20110713.parquet,True,26.0,2011-01-14T00:00:00,2011-07-08T00:00:00,,checksum_unverified,matched
a,actual_contract,A1205,1w,2011-07-22,2011-10-21,db_market_data_file,rqdata,primary,passed,,13,79847,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1205/A1205_1w_20110714_20111027.parquet,True,13.0,2011-07-22T00:00:00,2011-10-21T00:00:00,,checksum_unverified,matched
a,actual_contract,A1209,1w,2011-11-04,2012-03-16,db_market_data_file,rqdata,primary,passed,,19,79849,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1209/A1209_1w_20111028_20120320.parquet,True,19.0,2011-11-04T00:00:00,2012-03-16T00:00:00,,checksum_unverified,matched
a,actual_contract,A1301,1w,2012-03-30,2012-08-31,db_market_data_file,rqdata,primary,passed,,23,79851,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1301/A1301_1w_20120321_20120903.parquet,True,23.0,2012-03-30T00:00:00,2012-08-31T00:00:00,,checksum_unverified,matched
a,actual_contract,A1305,1w,2012-09-14,2013-02-01,db_market_data_file,rqdata,primary,passed,,20,79853,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1305/A1305_1w_20120904_20130201.parquet,True,20.0,2012-09-14T00:00:00,2013-02-01T00:00:00,,checksum_unverified,matched
a,actual_contract,A1309,1w,2013-02-08,2013-06-07,db_market_data_file,rqdata,primary,passed,,17,79855,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1309/A1309_1w_20130204_20130607.parquet,True,17.0,2013-02-08T00:00:00,2013-06-07T00:00:00,,checksum_unverified,matched
a,actual_contract,A1401,1w,2013-06-14,2013-10-11,db_market_data_file,rqdata,primary,passed,,18,79857,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1401/A1401_1w_20130613_20131016.parquet,True,18.0,2013-06-14T00:00:00,2013-10-11T00:00:00,,checksum_unverified,matched
a,actual_contract,A1405,1w,2013-10-25,2013-12-27,db_market_data_file,rqdata,primary,passed,,10,79859,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1405/A1405_1w_20131017_20131230.parquet,True,10.0,2013-10-25T00:00:00,2013-12-27T00:00:00,,checksum_unverified,matched
a,actual_contract,A1409,1w,2014-01-10,2014-03-28,db_market_data_file,rqdata,primary,passed,,12,79861,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1409/A1409_1w_20131231_20140328.parquet,True,12.0,2014-01-10T00:00:00,2014-03-28T00:00:00,,checksum_unverified,matched
a,actual_contract,A1501,1w,2014-04-04,2014-11-21,db_market_data_file,rqdata,primary,passed,,34,79863,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1501/A1501_1w_20140331_20141126.parquet,True,34.0,2014-04-04T00:00:00,2014-11-21T00:00:00,,checksum_unverified,matched
a,actual_contract,A1505,1w,2014-12-05,2015-04-10,db_market_data_file,rqdata,primary,passed,,19,79865,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1505/A1505_1w_20141127_20150414.parquet,True,19.0,2014-12-05T00:00:00,2015-04-10T00:00:00,,checksum_unverified,matched
a,actual_contract,A1509,1w,2015-04-24,2015-06-12,db_market_data_file,rqdata,primary,passed,,8,79867,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1509/A1509_1w_20150415_20150615.parquet,True,8.0,2015-04-24T00:00:00,2015-06-12T00:00:00,,checksum_unverified,matched
a,actual_contract,A1601,1w,2015-06-26,2015-11-06,db_market_data_file,rqdata,primary,passed,,20,79869,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1601/A1601_1w_20150616_20151111.parquet,True,20.0,2015-06-26T00:00:00,2015-11-06T00:00:00,,checksum_unverified,matched
a,actual_contract,A1605,1w,2015-11-20,2016-03-04,db_market_data_file,rqdata,primary,passed,,15,79871,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1605/A1605_1w_20151112_20160309.parquet,True,15.0,2015-11-20T00:00:00,2016-03-04T00:00:00,,checksum_unverified,matched
a,actual_contract,A1609,1w,2016-03-18,2016-07-08,db_market_data_file,rqdata,primary,passed,,17,79873,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1609/A1609_1w_20160310_20160713.parquet,True,17.0,2016-03-18T00:00:00,2016-07-08T00:00:00,,checksum_unverified,matched
a,actual_contract,A1701,1w,2016-07-22,2016-11-25,db_market_data_file,rqdata,primary,passed,,18,79875,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1701/A1701_1w_20160714_20161128.parquet,True,18.0,2016-07-22T00:00:00,2016-11-25T00:00:00,,checksum_unverified,matched
a,actual_contract,A1705,1w,2016-12-09,2017-03-17,db_market_data_file,rqdata,primary,passed,,15,79877,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1705/A1705_1w_20161129_20170323.parquet,True,15.0,2016-12-09T00:00:00,2017-03-17T00:00:00,,checksum_unverified,matched
a,actual_contract,A1709,1w,2017-03-31,2017-08-04,db_market_data_file,rqdata,primary,passed,,19,79879,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1709/A1709_1w_20170324_20170804.parquet,True,19.0,2017-03-31T00:00:00,2017-08-04T00:00:00,,checksum_unverified,matched
