queue_action_id,action_type,target_scope,source_residual_ids,product,contract_role,contract,period,physical_path,current_evidence,recommended_action,requires_code_change,requires_manifest_change,requires_db_write,requires_parquet_write,requires_rqdata,risk_level,rollback_method
ACT-23b5323effdcc95b,rebuild_derived_period_from_1m,a:15m:2010-01-04:2026-07-10,"[""RES-a3566160b5657841""]",a,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-29a9fe3cffc9e0a8,rebuild_derived_period_from_1m,a:30m:2010-01-04:2026-07-10,"[""RES-832739f7624673de""]",a,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-2cbbd68f7c4e7ccc,rebuild_derived_period_from_1m,a:5m:2010-01-04:2026-07-10,"[""RES-f8c944f36912d0db""]",a,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-1249eea80261011d,rebuild_derived_period_from_1m,a:60m:2010-01-04:2026-07-10,"[""RES-cf967255bd1ed376""]",a,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-9f23eb414107ad9a,rebuild_derived_period_from_1m,ag:15m:2012-05-10:2026-07-10,"[""RES-9f0b8e34dbef5bbd""]",ag,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-3ccff6d59812d5aa,rebuild_derived_period_from_1m,ag:30m:2012-05-10:2026-07-10,"[""RES-ecb0bafa675972eb""]",ag,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-bb7b87ae6a0b5aa6,rebuild_derived_period_from_1m,ag:5m:2012-05-10:2026-07-10,"[""RES-da08f122ed8c9234""]",ag,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-dd05329a8c7049ce,rebuild_derived_period_from_1m,ag:60m:2012-05-10:2026-07-10,"[""RES-e21229bb34036c81""]",ag,dominant_main,,60m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2012-05-10"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-57e4176b779d26de,rebuild_derived_period_from_1m,al:15m:2010-01-04:2026-07-10,"[""RES-b8544dd469b0fe04""]",al,dominant_main,,15m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-5de3f5a13cf3ed38,rebuild_derived_period_from_1m,al:30m:2010-01-04:2026-07-10,"[""RES-7509f334e73a3a86""]",al,dominant_main,,30m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
ACT-2c10eb2f2b5e0c70,rebuild_derived_period_from_1m,al:5m:2010-01-04:2026-07-10,"[""RES-2010991d44325528""]",al,dominant_main,,5m,,"{""expected_end"":""2026-07-10"",""expected_start"":""2010-01-04"",""observed_start"":""2020-01-02"",""source_role"":""derived_from_1m""}",Build the missing derived interval locally from canonical 1m and version all Parquet/manifest/DB outputs.,false,true,true,true,false,high,Remove only the newly versioned derived outputs and restore manifest/DB snapshots.
