indicator,policy_id,implementation_source,seed_policy,smoothing_policy,histogram_scale,lookback,warmup,confirmed_only,registry_status,repainting_risk,allowed_consumers,blocked_consumers,dependent_callers,recommended_state
EMA,ema_sma_window_v1,guiyi_quant.indicators.ema.ema_series_and_Web_compatibility,sma_window,recursive_ema_alpha_2_over_period_plus_1,not_applicable,period,period_minus_1,true,validated_for_ema10_ema21_ema60,none,Market_Web_Backtest_live_confirmed,unconfirmed_signal_or_alert,market_backend_ema_api_and_market_web_main_ema_overlay,keep_validated
EMA,ema_first_value_legacy_v1,common_kernel_compatibility_plus_local_strategy_helpers,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,period,0,true,not_registered,none,versioned_legacy_strategies,unversioned_formal_replacement,JM_V1B_su_bing_and_daily_strategy_family,compatibility_only_until_per_caller_Gate
MACD,web_macd_legacy_v1,guiyi_quant.indicators.macd.macd_series_and_Web_calculateMACD,sma_window,recursive_ema_alpha_2_over_period_plus_1,2,fast12_slow26_signal9,33,true,draft_not_registered,none,Market_readonly_display,formal_strategy_signal_until_validated,Market_backend_override_and_Web_fallback,freeze_policy_then_register_or_keep_display_only
MACD,strategy_macd_first_value_scale1_v1,common_kernel_compatibility_plus_local_strategy_helpers,first_value,recursive_ema_alpha_2_over_period_plus_1,1,fast12_slow26_signal9,0,true,draft_not_registered,none,versioned_legacy_strategy_compatibility,Web_scale2_or_silent_strategy_replacement,FastAPI_su_bing_JM_V1B_and_daily_strategies,compatibility_only_until_strategy_version_Gates
ATR,web_atr_wilder_sma_seed_v1,guiyi_quant.indicators.atr.atr_series_and_Web_calculateATR,not_applicable,wilder_sma_seed,not_applicable,period,period_minus_1,true,draft_not_registered,none,observation_display,formal_report_or_signal_without_policy,shared_KlineChart_and_Market_riskDraft,add_backend_contract_or_mark_observation_only
ATR,fastapi_atr_wilder_first_tr_v1,common_kernel_compatibility_plus_FastAPI_local_helper,not_applicable,wilder_first_tr,not_applicable,period,0,true,draft_not_registered,none,legacy_strategy_compatibility,unversioned_formal_replacement,FastAPI_su_bing_ema21,compatibility_only_until_strategy_Gate
ATR,quantcore_atr_ema_first_tr_v1,common_kernel_compatibility_plus_quant_core_local_helpers,not_applicable,ema_first_tr,not_applicable,period,0,true,draft_not_registered,none,versioned_legacy_strategy_compatibility,wilder_policy_substitution,quant_core_su_bing_and_JM_V1B,freeze_for_legacy_and_migrate_only_by_new_version
HTDY,huotian_dayou_original_v0,Web_and_experiment_original_formula,centered_XMA,mixed_XMA_EMA_MA,not_applicable,period25_with_future_window,not_stable,false,observation_only,known,Web_manual_observation,Backtest_Signal_live_alert_notification,Web_original_and_original_PoC,keep_observation_only_and_block_formal_paths
HTDY,huotian_dayou_strict_v1,quant_core_strict_compute_fields,sma_window,double_trailing_EMA,not_applicable,channel49_zd2_73_var23_12,48_or_72_by_field,true,not_registered_strict_research_candidate,none,offline_candidate_and_manual_review,live_alert_notification_and_unapproved_formal_report,HTDY_strict_core,require_formal_Profile_bound_Backtest_Gate
HTDY,strict_v1_15m_formal_candidate_v0,quant_core_strategy_plus_readonly_dry_run,strict_v1,strict_v1,not_applicable,explicit_full_window,field_specific,true,not_indicator_registry_entry,none,readonly_dry_run_and_research_only_isolated_report,production_report_signal_live_alert_trading,HTDY_dry_run_and_research_persistence_test,remain_experiment_only_until_create_formal_task_evidence
