caller_id,formal_or_legacy,indicator,implementation_source,seed_policy,smoothing_policy,histogram_scale,lookback,confirmed_only,data_profile,binding_lineage,repainting_risk,report_or_signal_dependency,migration_risk,recommended_action
market_backend_ema_api,formal,EMA10/EMA21/EMA60,services/quant-api/app/services/market_indicators.py:get_market_indicators,sma_window,recursive_ema_alpha_2_over_period_plus_1,not_applicable,10/21/60,true,browser_active_nonfailed_or_explicit_research_profile,same_bars_market_data_file_id_and_lineage_token,none,Market research main overlay,low,formal_already_compliant: keep Python kernel path and validated registry policy
market_web_main_ema_overlay,formal,EMA10/EMA21/EMA60,apps/quant-web/src/components/kline/KlineChart.vue:mainIndicatorSeries,from_backend,from_backend,not_applicable,10/21/60,true,inherited_from_Market_request,inherits_backend_indicator_lineage,none,Market research display,low,formal_already_compliant: keep API supplied series and forbid local formal fallback
market_backend_macd_api,formal,MACD,services/quant-api/app/services/market_workbench.py:get_market_macd_indicator,sma_window,recursive_ema_alpha_2_over_period_plus_1,2,fast12_slow26_signal9_warmup33,true,browser_active_nonfailed_or_explicit_research_profile,same_bars_market_data_file_id_and_lineage_token,none,Market research MACD display,medium,formal_already_compliant: keep common kernel call but retain v1-draft status until policy freeze
market_web_macd_override,formal,MACD,apps/quant-web/src/components/kline/KlineChart.vue:macdOverrideToResult,from_backend,from_backend,2,fast12_slow26_signal9_warmup33,true,inherited_from_Market_request,lineage_token_checked_before_override,none,Market research MACD display,low,formal_already_compliant: retain backend override as authoritative Market path
market_web_macd_fallback,observation,MACD,apps/quant-web/src/components/kline/KlineChart.vue:calculateMACD,sma_window,recursive_ema_alpha_2_over_period_plus_1,2,fast12_slow26_signal9_warmup33,inherited_from_rendered_bars,Market_browser_or_research_bars,input_bars_only_no_indicator_lineage_snapshot,none,Display only after backend failure,medium,observation_only: label fallback visibly and never use it as formal indicator evidence
backtest_review_kline_macd,formal,MACD,apps/quant-web/src/components/kline/KlineChart.vue:calculateMACD,sma_window,recursive_ema_alpha_2_over_period_plus_1,2,fast12_slow26_signal9_warmup33,inherited_from_rendered_bars,inherited_from_report_or_review_exact_bars,parent_bar_lineage_only_no_indicator_lineage,none,Formal report and Review visualization,high,formal_must_migrate: supply a versioned backend/common-kernel series before treating pane values as formal evidence
shared_kline_atr,formal,ATR14,apps/quant-web/src/components/kline/KlineChart.vue:calculateATR,not_applicable,wilder_sma_seed,not_applicable,14_warmup13,inherited_from_rendered_bars,Market_or_Backtest_or_Review_parent_bars,parent_bar_lineage_only_no_indicator_lineage,none,Market Backtest and Review ATR pane,high,formal_must_migrate: add an explicit backend/common-kernel policy or mark pane observation-only
market_trend_draft_ema21,observation,EMA21,apps/quant-web/src/pages/market/chart.vue:trendStatus,local_sma_window,recursive_ema_alpha_2_over_period_plus_1,not_applicable,21,inherited_from_display_bars,Market_display_bars,no_indicator_lineage_snapshot,none,UI trend observation text,medium,observation_only: derive from backend EMA21 result or keep explicitly nonformal
market_risk_draft_atr14,observation,ATR14,apps/quant-web/src/pages/market/chart.vue:riskDraft,not_applicable,wilder_sma_seed,not_applicable,14_warmup13,inherited_from_display_bars,Market_display_bars,no_indicator_lineage_snapshot,none,UI draft stop and risk values,high,observation_only: do not present draft values as formal risk or signal inputs
web_htdy_original_formula,observation,huotian_dayou_original_v0,apps/quant-web/src/utils/indicators.ts:calculateHuoTianDaYou,centered_XMA_and_first_value_EMA,mixed_XMA_EMA_MA,not_applicable,period25_with_future_window,false,Web_display_bars,no_formal_profile_or_indicator_lineage,known,Observation overlay implementation only,critical,observation_only: keep forbidden for report backtest scanner live alert and notification
web_htdy_main_registration,observation,huotian_dayou_original_v0,apps/quant-web/src/utils/mainIndicators.ts:htdy_disabled,centered_XMA,mixed_XMA,not_applicable,not_applicable,false,not_applicable,not_applicable,known,No active renderer because available=false,critical,observation_only: keep disabled until a separately versioned strict renderer contract is approved
fastapi_su_bing_ema21,legacy,EMA21,services/quant-api/app/strategy/su_bing_ema21.py:_ema,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,21,inherited_from_scanner_or_backtest,formal_scanner_profile_or_legacy_backtest_input,parent consumer lineage exists but indicator policy is not persisted,none,Generic BacktestEngine and SignalScanner decisions,high,formal_must_migrate: replace only under an exact-vector and strategy-version Gate
fastapi_su_bing_macd,legacy,MACD,services/quant-api/app/strategy/su_bing_ema21.py:_calculate_indicators,first_value,recursive_ema_alpha_2_over_period_plus_1,1,fast12_slow26_signal9_warmup0,inherited_from_scanner_or_backtest,formal_scanner_profile_or_legacy_backtest_input,parent consumer lineage exists but indicator policy is not persisted,none,Generic BacktestEngine and SignalScanner decisions,high,formal_must_migrate: use explicit first_value scale1 kernel policy under regression Gate
fastapi_su_bing_atr,legacy,ATR14,services/quant-api/app/strategy/su_bing_ema21.py:_atr,not_applicable,wilder_first_tr,not_applicable,14_warmup0,inherited_from_scanner_or_backtest,formal_scanner_profile_or_legacy_backtest_input,parent consumer lineage exists but indicator policy is not persisted,none,Stops filters BacktestEngine and SignalScanner,high,formal_must_migrate: use wilder_first_tr kernel policy under regression Gate
quantcore_su_bing_ema21,experiment,EMA21,packages/quant-core/guiyi_quant/strategies/su_bing_ema21/vnpy_strategy.py:_ema_series,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,21,true,injected_vnpy_bars,no_profile_resolution_inside_strategy,none,vn.py strategy draft decisions,medium,experiment_only: retain until a formal strategy version and Profile-bound task are declared
quantcore_su_bing_macd,experiment,MACD,packages/quant-core/guiyi_quant/strategies/su_bing_ema21/vnpy_strategy.py:_calculate_indicators,first_value,recursive_ema_alpha_2_over_period_plus_1,not_directly_output,fast12_slow26_signal9_warmup0,true,injected_vnpy_bars,no_profile_resolution_inside_strategy,none,vn.py strategy draft decisions,medium,experiment_only: migrate only with exact-vector proof and explicit strategy version
quantcore_su_bing_atr,experiment,ATR14,packages/quant-core/guiyi_quant/strategies/su_bing_ema21/vnpy_strategy.py:_atr_series,not_applicable,ema_first_tr,not_applicable,14_warmup0,true,injected_vnpy_bars,no_profile_resolution_inside_strategy,none,vn.py strategy draft stops and filters,medium,experiment_only: migrate only with ema_first_tr compatibility policy
jm_v1b_report14_ema,formal_frozen,EMA21,packages/quant-core/guiyi_quant/strategies/jm_v1b_daily_direction_fast_entry/vnpy_strategy.py:_ema_series,first_value,recursive_ema_alpha_2_over_period_plus_1,not_applicable,intraday_window220_and_daily_min35,true,local_parquet_primary_passed_frozen_report14,historical_report14_has_frozen_evidence_not_current_binding_snapshot,none,report_id14 and JM V1-B entry decisions,critical,frozen_legacy_keep: never replace in v1b.0 and require a new strategy version for migration
