evidence_id,unsafe_id,consumer,entrypoint,evidence,escape_pattern,classification,formal_scope,profile_contract,quality_contract,lineage_contract,finding
BT-01,U-BT-01,Backtest,POST /api/backtests/tasks,services/quant-api/app/schemas/backtest.py:22-49; services/quant-api/app/api/backtests.py:170-174,client supplied bar_data_path; auxiliary_bar_data_paths,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Public formal task accepts arbitrary local primary and auxiliary paths plus client-declared data metadata."
BT-02,U-BT-02,Backtest,fixed JM task builders,services/quant-api/app/backtest/v1b_jm_tasks.py:77-118; 558-581,_latest_formal_file; 自行选择 primary,unsafe_bypass,yes,FAIL,PASS,FAIL,"Fixed JM selects latest rqdata primary passed row instead of resolving an active Profile binding."
BT-03,U-BT-03,Backtest,task and report persistence,services/quant-api/app/models/backtest.py:44-112; services/quant-api/alembic/versions/20260712_0023_profile_consumer_lineage.py:20-29,未记录 profile_id; 未记录 market_data_file_id; 未记录 binding snapshot,unsafe_bypass,yes,FAIL,PARTIAL,FAIL,"Migration 0023 columns exist but ORM/schema/service do not map them; immutable snapshot column is absent."
BT-04,U-BT-04,Backtest,BacktestTaskRunner,services/quant-api/app/backtest/runner.py:23-68; services/quant-api/app/backtest/service.py:54-85,direct persisted path replay,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Runner reconstructs execution entirely from mutable request paths and never verifies pinned file identity."
BT-05,U-BT-05,Backtest,vn.py standard row validation,services/quant-api/app/vnpy_integration/backtest_runner.py:227-252,自行允许 missing lineage defaults,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Missing data_role defaults to primary and missing quality_status defaults to passed."
BT-06,U-BT-06,Backtest,POST /api/backtests/run,services/quant-api/app/api/backtests.py:122-136; 347-399,自行允许 warning,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Inline public run permits client warning override and returns no immutable Profile binding snapshot."
BT-07,U-BT-07,Backtest,POST /api/backtests/run-batch,services/quant-api/app/api/backtests.py:146-162; 402-410; services/quant-api/app/services/batch_backtest.py:217-243,自行选择 primary; 自行允许 warning,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Batch target selection uses coverage/default contract and accepts warning override rather than resolving a Profile for each report."
BT-08,U-BT-08,Backtest,ProfileLineageResolver backtest policy,services/quant-api/app/services/profile_lineage.py:61-71; 130-148,自行允许 warning,unsafe_bypass,yes,PARTIAL,FAIL,PARTIAL,"Resolver itself allows backtest warning override; strict formal Backtest has no passed-only wrapper."
BT-09,,Backtest,GuiyiBacktestRequest low-level runner,services/quant-api/app/vnpy_integration/backtest_runner.py:20-36; 194-224,direct Path / read_parquet,experiment_only,no,N/A,PASS,N/A,"Path injection remains legitimate only for isolated experiments and fixtures and must not reach public APIs or formal persistence."
SIG-01,U-SIG-01,Signal,POST /api/signals/scan,services/quant-api/app/schemas/signal.py:23-38; services/quant-api/app/api/signals.py:48-58,client warning override; missing profile_id,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Historical formal scan exposes provider and allow_warning_quality but no Profile identity."
SIG-02,U-SIG-02,Signal,historical scanner targets,services/quant-api/app/services/signal_scanner.py:131-160,自行选择 primary; 自行判断 main/actual,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Scanner uses default_contract or coverage[-1] instead of Profile binding and canonical actual mapping."
SIG-03,U-SIG-01,Signal,historical scanner reads,services/quant-api/app/services/signal_scanner.py:162-179; 204-209; services/quant-api/app/services/market_data_reader.py:365-412,自行允许 warning; unchecked passes,unsafe_bypass,yes,FAIL,FAIL,FAIL,"No profile_id is supplied; warning may be overridden and unchecked quality is not fail-closed."
SIG-04,U-SIG-04,Signal,Signal ORM versus migration,services/quant-api/alembic/versions/20260712_0023_profile_consumer_lineage.py:31-44; services/quant-api/app/models/signal.py:14-32; 35-86; 113-147,未记录 profile_id; 未记录 market_data_file_id; 未记录 binding snapshot,unsafe_bypass,yes,FAIL,PARTIAL,FAIL,"DB lineage columns are unmapped and Signal has no immutable binding snapshot."
SIG-05,U-SIG-04,Signal,formal event creation,services/quant-api/app/signal/events.py:184-233; 252-257,自行默认 primary; incomplete asset lineage,unsafe_bypass,yes,FAIL,FAIL,FAIL,"Event copies descriptive contract and quality fields but not Profile/file identity; missing role falls back to primary."
